student_id,student_name,age,grade_level,teacher_name
40,Kristofor Geikie,14,1st grade,Khalil Chazette
41,Feliks Sallarie,6,5th grade,Neall Soppit
42,Otes Bygraves,11,2nd grade,Rani Mountford
43,Cyrus Corns,15,5th grade,Merola Priestnall
44,Ninon Perceval,18,1st grade,Stanfield Pauluzzi
45,Jude Alfuso,18,2nd grade,Kassia Gilmour
46,Filip Carrier,17,4th grade,Ricca Berthon
47,Perkin Jostan,15,2nd grade,Ambrosio Kilian
48,Othelia Bridgnell,15,4th grade,Georgie McElhargy
49,Arv Mathew,5,4th grade,Midge Lilbourne
50,Danielle Coils,8,3rd grade,Marve Yaakov
51,Cort Misson,16,5th grade,Beltran Butner
52,Arabele Ewebank,9,3rd grade,Scotti Schruyers
53,Xena Tite,12,2nd grade,Joana Buddington
54,Wilton Ondricek,6,4th grade,Rayner Tomkiss
55,Micah Pargetter,7,3rd grade,Everett Spoors
56,Chere Dufaire,6,4th grade,Janice Westnedge
57,Samaria Donativo,11,2nd grade,Arin Bovingdon
58,Uriah Spyer,6,5th grade,Noel Ledgister
59,Thom Placido,13,4th grade,Lucilia Selwood
60,Anett Goggin,8,1st grade,Kath Jansie
61,Griff La Batie,17,4th grade,Gunter Ager
62,Sorcha Kentish,12,5th grade,Sallyanne Trowbridge
63,Lazarus Wheowall,9,5th grade,Flss Newell
64,Paloma Bradbeer,10,2nd grade,Dallas Densun
65,Florance Yurenev,17,5th grade,Kelcie Sammonds
66,Jaymee Attock,18,4th grade,Paxon Pharo
67,Veriee McCann,6,4th grade,Renault Iacovolo
68,Grannie Kuhne,16,1st grade,Fred Drewett
69,Den Schulz,12,5th grade,Casar Gethings
70,Ninon Androsik,10,3rd grade,Cesare Kmietsch
71,Sibbie Murkin,8,3rd grade,Barrie Hansard
72,Wes Carder,11,3rd grade,Sargent Ubanks
73,Harmonia Ivimey,16,4th grade,Bab Stivers
74,Hillier Spall,13,3rd grade,Adrienne Duthie
75,Land Dunning,11,4th grade,Man Isabell
76,Dael Pepin,15,5th grade,Penrod Borkett
77,Neely Gilfoyle,10,1st grade,Dylan Merfin
78,Dayna Almond,8,3rd grade,Gus Bassilashvili
79,Chalmers Toulch,15,4th grade,Humfried Traviss
80,Roley Grimwade,8,1st grade,Revkah Doerrling
81,Cornall Mertgen,13,5th grade,Maressa Gussin
82,Jackie Butterick,10,3rd grade,Les Hambers
83,Quinlan Bolduc,16,4th grade,Tessi Urlin
84,Morgen Brompton,5,5th grade,Hatty Dunphie
85,Jenn Horley,7,2nd grade,Celisse Clemot
86,Virgil Peyntue,6,4th grade,Rory Osgar
87,Myranda Morrill,15,5th grade,Ariana Naismith
88,Oralie Weldrake,9,4th grade,Sheri Tytcomb
89,Merwin Beckerleg,17,3rd grade,Brade Tourot
90,Brocky Ruzicka,14,4th grade,Meta Legge
91,Norton Hembling,18,4th grade,Arvy Capenor
92,Maxine Fothergill,5,4th grade,Leslie MacIlhargy
93,Ches McSporon,8,2nd grade,Jamie Ram
94,Buddy Northcott,15,1st grade,Yolande Sickamore
95,Hamlen O'Corrigane,16,5th grade,Boonie Piffe
96,Hilary Izak,18,3rd grade,Kirk Lezemere
97,Willa Bayley,18,4th grade,Jon De Bell
98,Phyllida Critchard,5,2nd grade,Vin Rathbourne
99,Donovan Hoyland,16,3rd grade,Wright Zamora
100,Amalle Elderidge,7,5th grade,Sammy Baumber
101,Chrisy Strettle,10,1st grade,Juanita Sellman
102,Jonis Tampin,8,2nd grade,Eimile Aikett
103,Anthiathia Buxy,6,1st grade,Thaddus Lune
104,Jazmin Gulc,15,1st grade,Carlotta Duke
105,Claude Sallan,6,3rd grade,Juli Gallamore
106,Josh Toler,16,1st grade,Nerissa Madre
107,Cindra Wincom,18,3rd grade,Boote Skeates
108,Diahann Pegg,15,4th grade,Lotte Lembke
109,Toby Van Der Walt,12,1st grade,Dorita Portingale
110,Libbie Bendixen,15,3rd grade,Bridget Housen
111,Grayce Lenchenko,17,2nd grade,Reynard Ditchett
112,Rora Iacovides,6,3rd grade,Morton Chilver
113,Jarret Gillooly,16,4th grade,Auberon Clousley
114,Ricca Argont,13,4th grade,Yasmin Flaunier
115,Gordon Doorly,7,2nd grade,Marta Shepcutt
116,Donnell Dornan,10,5th grade,Tann Purle
117,Candace Fagg,16,1st grade,Crystie Dobbinson
118,Kira Woolley,5,2nd grade,Bernadene Danell
119,Leonid Willcott,6,4th grade,Morganne Echalier
120,Bobbee Kempston,13,5th grade,Hendrick O'Henecan
121,Amelia Elesander,5,1st grade,Kevyn Beckwith
122,Issy Stirrup,9,4th grade,Giorgia Muschette
123,Simmonds Teale,10,2nd grade,Lindy Treen
124,Giulia Bloan,7,2nd grade,Jemmy Boraston
125,Willard Ivannikov,11,3rd grade,Cos Stopford
126,Jdavie Caruth,13,2nd grade,Osbourne Brumwell
127,Powell Perton,9,5th grade,Rikki Tumayan
128,Carlen Prettyman,14,5th grade,Danette Oosthout de Vree
129,Em Davis,10,2nd grade,Caye Stollmeier
130,Carlyn Asquez,5,4th grade,Elenore Colgan
131,Charil MacKerley,5,4th grade,Mayor Toke
132,Nelle Peat,15,4th grade,Wallie Tofpik
133,Westbrooke Adami,14,3rd grade,Elsi Goodliff
134,Savina Bankhurst,15,1st grade,Zarla Juggings
135,Elliot Grinley,8,5th grade,Vickie Gligori
136,Alysia Broschek,16,4th grade,Kalvin Dumbarton
137,Derek Fossick,8,1st grade,Yance Eick
138,Gerri Shasnan,8,2nd grade,Teador Kyffin
139,Andonis Surmeyers,16,3rd grade,Madelaine Goldstone
140,Morten Seal,5,5th grade,Camile Lutty
141,Mara Duell,6,3rd grade,Chad Crosser
142,Pebrook Gavozzi,13,4th grade,Carolyn Redon
143,Gibb Blight,9,2nd grade,Shanda Tadman
144,Cozmo Scholler,12,4th grade,Nickey Figliovanni
145,Grantley Reekie,9,4th grade,Avrom Greenan
146,Phylis Lippitt,12,2nd grade,Tybie Alexandrou
147,Kalle Burdin,9,4th grade,Letti Goulden
148,Riccardo Esselen,18,3rd grade,Lloyd Mowday
149,Marcella Hawe,12,1st grade,Bamby Janacek
150,Caz Hallawell,7,3rd grade,Celisse Leipnik
151,Maegan Walicki,9,4th grade,Malachi Falla
152,Stevy Barts,13,2nd grade,Bo MacCallister
153,Josephina Bastick,14,4th grade,Nanette Gueny
154,Milzie Kacheller,16,4th grade,Christan Prentice
155,Morna Timbrell,10,5th grade,Rosita Titterrell
156,Jeremias Nickless,8,1st grade,Otis Bartolini
157,Tiertza Cordie,16,4th grade,Edna Balbeck
158,Hayes Banck,7,4th grade,Renato Steinson
159,Phillida Tomadoni,13,4th grade,Hank Mounce
160,D'arcy Duddle,11,2nd grade,Justine Godfery
161,Korry Gavey,11,2nd grade,Michal Chadwick
162,Lynnell Allcorn,12,2nd grade,Gregorio Studdeard
163,Hyacinthia Ondrak,6,4th grade,Trula Battista
164,Agnesse Drewett,15,1st grade,Ike Riste
165,Scarlett Binnes,8,3rd grade,Doretta Gartshore
166,Ray Latimer,17,1st grade,Britt Meiningen
167,Shermie McAlpine,9,2nd grade,Esmeralda Webburn
168,Walker Vannuchi,10,3rd grade,Chloris Allaker
169,Calv Erni,14,2nd grade,Sibella Shelvey
170,Augustus Pringour,5,2nd grade,Erny McGarrahan
171,Collen Schruur,9,4th grade,Marshall Merit
172,Dyane Nozzolii,16,2nd grade,Elbertine Ebbings
173,Darice Fleischmann,8,3rd grade,Marlene Benard
174,Laurie Farans,11,2nd grade,Fonz Luscott
175,Abraham Dinneen,11,5th grade,Monica Littleproud
176,Christie Cattach,5,3rd grade,Herculie Angliss
177,Basilius Pol,10,5th grade,Mehetabel Leyrroyd
178,Suzanne Ducaen,15,5th grade,Laurel Kerans
179,Modestine Bransom,16,5th grade,Purcell Browncey
180,Reynolds Corkhill,13,3rd grade,Fidelity MacPaden
181,Ana Abrahamsson,10,1st grade,Garwin Duny
182,Nessie Clewarth,12,3rd grade,Thornton Carabet
183,Sallee Abrahams,16,1st grade,Loretta Bischoff
184,Maye Iwanczyk,17,4th grade,Bethany Nipper
185,Annmarie Wightman,8,4th grade,Janos Michael
186,Shara Bagnell,17,3rd grade,Caren Longfellow
187,Carrissa Sayce,14,5th grade,York Brigdale
188,Hinze Willcocks,18,1st grade,Abe Guthrie
189,Chlo Hutchason,5,3rd grade,Tybi Serris
190,Letisha Matysiak,11,3rd grade,Rock Bestar
191,Billy Gyde,10,4th grade,Ogdan Barks
192,Lilla Eilhersen,9,1st grade,Portia Rolfini
193,Linc Eyckel,6,5th grade,Cherida Stoacley
194,Lynett Gillibrand,12,3rd grade,Griselda Scotford
195,Annmaria Benedettini,5,1st grade,Sargent Wortt
196,Stacey Mantripp,5,1st grade,Willabella Derry
197,Finn Chawkley,14,2nd grade,Margaretta Hoogendorp
198,Hailey Amdohr,9,1st grade,Markos Astridge
199,Ali Joska,10,4th grade,Dore Dougharty
200,Tamra McKinie,13,1st grade,Selina McLaine
201,Cloris Goldsby,14,1st grade,Celinka Sproson
202,Vivian Paramor,6,3rd grade,Archaimbaud Rotge
203,Iggy Monnoyer,15,2nd grade,Ephrem Kobpal
204,Zak Wigmore,7,3rd grade,Renaud Gowrie
205,Steve Wildash,11,5th grade,Drusy Greg
206,Kory Wixon,8,2nd grade,Margie Brusin
207,Murdoch Gye,10,1st grade,Hew Larmet
208,Sybil Abramson,13,2nd grade,Anne Glassford
209,Charlot Llywarch,18,5th grade,Kristien Winram
210,Noami O'Dogherty,11,2nd grade,Reginauld Mundow
211,Caitrin Joint,6,1st grade,Annnora Bielefeld
212,Lilas Jeaycock,9,4th grade,Shaylynn Thyng
213,Quent Dunnet,10,1st grade,Barton Lantoph
214,Nanine April,11,4th grade,Pamella Mackison
215,Stephi Govan,6,2nd grade,Cherlyn Vinson
216,Birdie Attril,16,2nd grade,Normy Pasek
217,Ambrose Kneafsey,15,4th grade,Adolf Vint
218,Carrol Jorgesen,12,5th grade,Bendite Dey
219,Ceil Grice,8,3rd grade,Simeon Voisey
220,Zebedee Gilyott,16,2nd grade,Starlene O'Sheeryne
221,Laurens Tarbatt,17,4th grade,Melisa Emanuelli
222,Charley Dimeloe,16,5th grade,Kathleen Bartlomiej
223,Francesco Polkinghorne,13,1st grade,Elsinore Spering
224,Sloan Ivan,17,5th grade,Noel Jesson
225,Jonathan Codron,13,2nd grade,Ana Aronstam
226,Rodrick Cardno,12,1st grade,Balduin Gersam
227,Darryl Larkcum,8,1st grade,Josephine Roughey
228,Faun Issett,9,1st grade,Rhodie Wellington
229,Rorke Derkes,12,1st grade,Bard Gauvin
230,Johanna Hyman,12,2nd grade,Elspeth Dust
231,Carie Tink,11,3rd grade,Blair Furzer
232,Jillene Iannelli,5,4th grade,Mike MacKissack
233,Vinnie Belchamber,16,2nd grade,Mohammed Lister
234,Carmel Kropach,8,1st grade,Corrine Berrisford
235,Kissiah Getten,13,1st grade,Sue MacKimm
236,Glendon Albone,13,4th grade,Kelsey Feldmesser
237,Melisenda Scipsey,18,1st grade,Clywd Apperley
238,Joanna Lissandre,13,2nd grade,Keefer Klouz
239,Rosalie Spink,14,5th grade,Corrie Kruschov
240,Fania Northridge,18,5th grade,Arielle Franses
241,Devy Ledward,16,5th grade,Caddric Foyston
242,Rab Alcalde,9,4th grade,Klara Infantino
243,Giulietta De Fries,17,1st grade,Alic Darwood
244,Candide Trayes,10,4th grade,Artemis Trowell
245,Leshia Pummery,9,3rd grade,Gerda Olenikov
246,Hew Cayet,10,4th grade,Alanna Heeran
247,Esmaria Trittam,10,1st grade,Essa Daniello
248,Tull Smitten,17,3rd grade,Darwin Gowenlock
249,Wood Polye,15,2nd grade,Giusto Dohms
250,Jacinta Hardware,17,4th grade,Marlene Skeats
251,Coletta Klesel,13,5th grade,Marieann Giral
252,Karon Pickburn,8,3rd grade,Jaine Westnedge
253,Zerk Kittiman,15,5th grade,Ernestus Branigan
254,Fergus Beccera,13,3rd grade,Conant Hawkings
255,Ray MacSporran,14,1st grade,Joelie Wignall
256,Jessy Sapauton,14,4th grade,Riki Beathem
257,Joscelin Sheer,8,3rd grade,Frasco Yanne
258,Tiffi Blumsom,17,1st grade,Desmond McLaggan
259,Pincas Hrinchishin,7,5th grade,Bob Batter
260,Avram Hazeup,11,5th grade,Dyann Strivens
261,Westley Dover,11,3rd grade,Eddy Delgua
262,Bekki Cronshaw,18,4th grade,Eudora Treat
263,Egan Haslam,15,5th grade,Cristen Formilli
264,Megen Stallybrass,12,2nd grade,Kirsteni Sweetland
265,Fara Malim,7,5th grade,Karalee Norway
266,Hallsy Jenk,17,4th grade,Amanda Madine
267,Leyla Cristofaro,13,4th grade,Leela Dunkirk
268,Egon Brunstan,7,1st grade,Reeva Bane
269,Melvyn Ratledge,16,2nd grade,Wendy Rostern
270,Jarrett Goburn,7,1st grade,Liva Younie
271,Mersey Pumphrey,12,4th grade,Erek Headech
272,Stanley Vakhonin,6,5th grade,Barbey Fasler
273,Starlin Wheeldon,9,1st grade,Jodie Richie
274,Lani Van Leijs,10,5th grade,Callie Spinney
275,Fielding Laye,7,2nd grade,Georgetta Ibbett
276,Mordecai Bodley,15,1st grade,Lorrayne Dreghorn
277,Melamie Casemore,11,5th grade,Laurent Pitkeathley
278,Grayce Caldairou,10,1st grade,Lissa Jedrychowski
279,Mady Lumpkin,14,2nd grade,Caryn Haggett
280,Jordon Packington,14,5th grade,Marylin Tiplady
281,Kris Folkerd,11,4th grade,Harald Purle
282,Morrie Kingcott,11,3rd grade,Jemimah Spoure
283,Kari Ivanets,17,3rd grade,Ludovico Lamb
284,Pearce Warrender,10,2nd grade,Paul Jameson
285,Marcela Dumsday,6,2nd grade,Robena Cotillard
286,Veronica Braywood,17,2nd grade,Waylan Collett
287,Saunder Brandacci,5,3rd grade,Ewan Fairholm
288,Eveline Udie,16,4th grade,Fredric Kerry
289,Deane Stonall,11,5th grade,Dorrie Halbeard
290,Pollyanna Fahrenbach,13,1st grade,Patrizio Basso
291,Elfreda Hurle,7,1st grade,Fancie Behne
292,Helsa Knutsen,16,2nd grade,Roobbie Bruford
293,Ruy Guarnier,15,1st grade,Shela Derell
294,Tobie Greensides,10,1st grade,Kurt Rowbottom
295,Dael Novotna,6,2nd grade,Tadeo McNicol
296,Krista Runnalls,16,4th grade,Cherida Folli
297,Beau Soan,9,3rd grade,Sisely Tilte
298,Janina Caulton,6,5th grade,Helaina Reicherz
299,Malorie Petrou,13,1st grade,Cris Lymer
300,Zackariah Wallach,6,1st grade,Johny Edgworth
301,Janela Pickthall,15,5th grade,Zabrina Smalcombe
302,Oswell MacNeil,10,5th grade,Mercedes Soffe
303,Andra Luchelli,5,5th grade,Nicol Aughton
304,Robyn Alchin,11,1st grade,Tamma Jacobssen
305,Katya Heinicke,13,1st grade,Thekla Picford
306,Meara Leake,15,2nd grade,Carlos Wild
307,Kiele Beccero,15,3rd grade,Darryl Castiglio
308,Ranee Haswall,18,4th grade,Maryjo Lawes
309,Alfie Lannen,12,1st grade,Bondon Woodworth
310,Jackson Vamplew,15,4th grade,Audrey Corwood
311,Standford Cawt,10,1st grade,Talyah Mackie
312,Magda Cator,10,2nd grade,Zelig Clawsley
313,Phillip Labeuil,10,3rd grade,Norrie Stirrip
314,Rodina Pretti,6,5th grade,Eugen Marcum
315,Roddy Bulluck,5,4th grade,Dorri Sudlow
316,Dene Berrington,15,3rd grade,Erl MacLeod
317,Molli Fierman,15,5th grade,Evanne Thompson
318,Emalia Tiesman,12,5th grade,Celestine Yurin
319,Krissie Isard,14,2nd grade,Gerta McKeighen
320,Courtney Stidston,15,5th grade,Neill Summerlee
321,Marrissa Tomasini,15,3rd grade,Orion Studde
322,Charlton Morley,10,5th grade,Pinchas Haskur
323,Tricia Cicchillo,18,5th grade,Aldis Stokell
324,Holly-anne Tewelson,17,3rd grade,Belvia Muldoon
325,Clevie Ridler,11,5th grade,Niall Janic
326,Neil Poppleton,5,5th grade,Jeana Christer
327,Brion Cammiemile,13,3rd grade,Fred Gethings
328,Dana Farres,5,1st grade,Ignacius Tromans
329,Lyssa Sircomb,8,4th grade,Denis Chirm
330,Orelie Dybell,6,5th grade,Kizzie Raulston
331,Velvet Armour,17,1st grade,Millicent Gulliman
332,Lisha Toffel,17,1st grade,Margarete Loughlan
333,Maryjane Correa,8,3rd grade,Chad Terbruggen
334,Cyndie Profit,6,4th grade,Christophorus Learmont
335,Debor Bresner,11,4th grade,Mela McKintosh
336,Rana Jonuzi,11,1st grade,Marketa Assur
337,Karin Cruddas,18,1st grade,Nancie Acom
338,Michele Castelow,6,5th grade,Trixie O'Flaverty
339,Cassius Youde,15,5th grade,Isabelle Hartshorn
340,Delmar Osborne,16,4th grade,Celestyna Kuhnwald
341,Aaron Trevon,16,4th grade,Clarinda Siggers
342,Hollis Orgel,5,5th grade,Anna-diana Sproul
343,Hernando Tippetts,8,5th grade,Katinka Size
344,Joan Calder,6,4th grade,Codie Gurge
345,Dion Chalke,8,1st grade,Laurel Laidlaw
346,Jecho Teasell,11,1st grade,Tommy Marin
347,Coreen Denerley,10,5th grade,Elva Doree
348,Agnola Owlner,13,1st grade,Kali Townson
349,Daniella Mussettini,5,4th grade,Doretta Schelle
350,Rodrique Ogdahl,17,2nd grade,Sayers Whild
351,Fayth Ferne,7,5th grade,Liza Piletic
352,Lesley Yole,7,2nd grade,Yvor Hurrion
353,Maddi Tubb,8,1st grade,Vivian Hargerie
354,Evvie Hitschke,13,3rd grade,Datha Comiam
355,Eal Vasser,12,5th grade,Lockwood Hounsome
356,Corby Le Gall,6,2nd grade,Rhodie Fishwick
357,Noellyn Tewkesbury,5,5th grade,Spence Burchmore
358,Lem Greystock,17,3rd grade,Wildon Almey
359,Gabie Colbridge,10,3rd grade,Morley Legate
360,Miltie Cheevers,12,3rd grade,Terese Scorthorne
361,Jamie Ruggs,10,4th grade,Tallulah Callan
362,Quinn Kensington,5,3rd grade,Rahel Collingridge
363,Malva Leys,7,2nd grade,Birgitta Bonder
364,Jeannine Maymand,9,3rd grade,Franzen Cronkshaw
365,Cindy Jutson,13,3rd grade,Arvie O'Nolan
366,Anthea Dyball,9,4th grade,Ginnifer Fann
367,Trula Allcroft,6,2nd grade,Aksel Massimo
368,Edyth Kench,16,5th grade,Austin Toft
369,Lawrence Hanhard,12,2nd grade,Myrna Chansonne
370,Melli Carlisle,17,5th grade,Judd Menham
371,Jo-anne Coughlan,12,5th grade,Sarene Bedingfield
372,Kippar Pree,7,3rd grade,Carmine Mourge
373,Ami McManus,5,5th grade,Adler Ogbourne
374,Jewel Bril,8,3rd grade,Kessiah Molson
375,Brook Brownscombe,14,5th grade,Nancy De Metz
376,Mira Jencey,8,3rd grade,Myrlene Buddock
377,Mercie Filippone,15,5th grade,Devlen Wildgoose
378,Shaughn Detheridge,9,2nd grade,Nehemiah Keal
379,Alix Whatman,14,3rd grade,Sherrie Staveley
380,Tab Gainsboro,10,3rd grade,Bale Kildale
381,Mersey Grimbaldeston,15,4th grade,Garrek D'Aeth
382,Devon Quested,16,3rd grade,Gwenny Nunnerley
383,Bordie Guido,11,3rd grade,Marie Lenihan
384,Misty Stitcher,14,4th grade,Garnette Ondrusek
385,Torrence Dalliwater,11,1st grade,Kerrin Buttress
386,Merle Birrel,16,3rd grade,Maure Losselyong
387,Ilysa Vanichev,8,4th grade,Barth Novis
388,Shalna Steckings,17,5th grade,Kellby Helleckas
389,Kiersten Vane,17,3rd grade,Diannne Jerzykiewicz
390,Deeanne Jickells,10,1st grade,Niall Ringwood
391,Kippie Boldry,11,5th grade,Barde Bate
392,Shaughn Blagden,5,4th grade,Carlie Lorenzin
393,Shani O'Corren,13,1st grade,Hilary Sexten
394,Palmer Wandtke,11,2nd grade,Paulina Gerg
395,Heda Wield,18,4th grade,Jaymee Brosel
396,Dugald Craigheid,18,2nd grade,Keelia Brimham
397,Laurens Goodhand,18,3rd grade,Adi Sivell
398,Bondon Clarricoates,12,3rd grade,Giralda Smyth
399,Ardith Mucklo,10,5th grade,Deana Parell
400,Ethelind Phlippsen,15,5th grade,Corny Froom
401,Eyde Berrick,16,5th grade,Randolf Cleaton
402,Cheston Kelland,8,2nd grade,Dorothea Pudsall
403,Westley Kristoffersson,5,2nd grade,Sully Ryles
404,Tommie Perrelli,10,5th grade,Lincoln Dufer
405,Devy Bayldon,9,4th grade,Frasco Meininking
406,Elle Jessett,5,5th grade,Will Legging
407,Kassandra Steffan,13,3rd grade,Malissa Joesbury
408,Drake Birdsall,6,1st grade,Imojean Bullan
409,Joanie Bachs,13,5th grade,Darya Addlestone
410,Minette Caroli,7,1st grade,Neille Windas
411,Roselia Haste,17,1st grade,Carin Darnbrough
412,Blair Iddiens,15,5th grade,Adriano Marmyon
413,Candide Pocklington,8,1st grade,Pembroke Pountney
414,Ruthann Pashbee,18,5th grade,Alameda Harms
415,Wolfy Tough,8,3rd grade,Jens McKeevers
416,Seka Vasilic,14,5th grade,Dirk Gert
417,Jere Swetman,9,1st grade,Tamra Karlolak
418,Erasmus Guymer,16,3rd grade,Delila Dumbellow
419,Cullie Lutman,6,4th grade,Raven Juster
420,Phelia Brandin,13,4th grade,Mandel Vedekhov
421,Wilfrid Mooney,15,2nd grade,Simon Esberger
422,Keslie Iacoviello,16,4th grade,Madeleine Domerq
423,Quentin Ginglell,8,3rd grade,Kyle Taunton
424,Carolynn Gotcliff,11,1st grade,Nathaniel Sidebottom
425,Marijn Ferraron,16,1st grade,Lezley Brownsword
426,Christophe Moralis,15,3rd grade,Anderea Peplow
427,Geoff Zannini,16,2nd grade,Ada Weagener
428,Prentiss Michelet,16,1st grade,Johnnie Bosomworth
429,Thorstein Eveling,16,3rd grade,Alexei Broadist
430,Remy Jones,15,1st grade,Glenden Tonn
431,Haywood Vittore,13,3rd grade,Leroi Mattiacci
432,Amargo Tombleson,6,3rd grade,Wilt Oultram
433,Bryant Bew,17,2nd grade,Angela Henrique
434,Larissa Brodley,17,3rd grade,Elsy Semerad
435,Timmy Willowby,5,1st grade,Georgiana Shillingford
436,Emylee Christoffe,11,2nd grade,Wilburt Crighton
437,Casar Fright,12,5th grade,Emili Szymaniak
438,Emlyn Faircliffe,10,3rd grade,Rica Cullrford
439,Emalia Pebworth,9,1st grade,Amalee Ryce
440,Margarita Barends,9,2nd grade,Sergent Frankcom
441,Ellie Davidovich,8,1st grade,Seumas Bissell
442,Loree Heeley,11,3rd grade,Nikkie Cunnah
443,Dena Ibbs,16,5th grade,Gabriell Perotti
444,Laure Wonfor,5,2nd grade,Rosemaria Brawley
445,Homer Borlease,14,3rd grade,Portie Tolley
446,Rawley Karadzas,10,2nd grade,Turner Meaddowcroft
447,Wyatan Finnick,9,5th grade,Thor Padfield
448,Taffy Leale,14,5th grade,Ammamaria Woolham
449,Amye Wimes,10,4th grade,Nanice Perrot
450,Steffane Klimentyonok,18,5th grade,Agosto Dodsworth
451,Chelsae Scanes,9,1st grade,Anne-corinne Sealy
452,Field Muselli,7,1st grade,Mack Greenley
453,Kiah Housley,13,3rd grade,Sinclare Iowarch
454,Cicily Kender,15,5th grade,Archy Ledner
455,Antonietta Tulley,9,4th grade,Mariann Dornin
456,Winthrop Maddy,17,5th grade,Druci Metzke
457,Janis Nye,12,2nd grade,Thebault Abramovicz
458,Danya Sivorn,12,2nd grade,Sella Dilleway
459,Masha Pillman,8,1st grade,Miles Twidle
460,Chrisse Vernalls,16,2nd grade,Gaile Snibson
461,Levon Pail,13,4th grade,Alphonso Monson
462,Roselin Reyson,7,5th grade,Donny Lambrecht
463,Marie Bydaway,16,4th grade,Poul Mazzilli
464,Demeter Hassen,6,2nd grade,Clarance Romney
465,Verla Traill,12,3rd grade,Ave Jerdon
466,Nicolis Chatel,15,1st grade,Gearard Wyvill
467,Sandor Mabbott,8,4th grade,Emmalee Matthiesen
468,Donella Cleghorn,11,1st grade,Zia Mahood
469,Evania Puddefoot,9,4th grade,Brook Wildish
470,Mirabel Shimman,5,5th grade,Tally Tharme
471,Danila Flindall,10,3rd grade,Zora Coghlan
472,Keri Walker,11,4th grade,Sabina MacMenamy
473,Jared Watchorn,7,1st grade,Eb Mensler
474,Mikaela Haly,9,2nd grade,Holden Harrad
475,Christiano Stanway,11,5th grade,Maggie Fentem
476,Lavinie Dowe,17,4th grade,Sallee Theseira
477,Jard Klementz,16,4th grade,Ardra Bumpas
478,Tedie Coots,16,4th grade,Maia Preston
479,Waring Farman,16,5th grade,Cindy Caveau
480,Rosa Nutbeam,11,2nd grade,Decca Lamplugh
481,Dallon Lysons,5,4th grade,Addison Tebbut
482,Herculie Clementi,12,3rd grade,Burg Volker
483,Wendie Dulake,17,3rd grade,Kit Littefair
484,Shelba Newvill,18,4th grade,Danyette Tellenbrook
485,Chuck Tunmore,12,3rd grade,Elvina Newitt
486,Izabel Skully,18,3rd grade,Ericka Vaneev
487,Gardie Folland,14,1st grade,Cammy Eastwood
488,Kenneth Epelett,18,1st grade,Theressa Vass
489,Orin Fish,13,3rd grade,Ortensia Blamphin
490,Cory Cownden,7,4th grade,Flynn Steuart
491,Raffaello Renahan,14,3rd grade,Karola Corkan
492,Rey Poulgreen,11,2nd grade,Temple Geistmann
493,Tremain McGebenay,8,4th grade,Eric Scown
494,Meg Riteley,16,5th grade,Spence Millins
495,Enoch Kassel,8,3rd grade,Doe Danks
496,Montgomery Sodo,6,4th grade,Ede Perin
497,Hollie Pattie,11,1st grade,Nicol Attewill
498,Grantham Cresswell,13,1st grade,Maggee Tilliards
499,Moss Pembery,5,4th grade,Leif Patton
500,Vivianne Renzo,12,3rd grade,Rosanne Lillywhite
